,"temperature_2m_(41.6351016, 15.908","relative_humidity_2m_(41.6351016, 15.908","precipitation_(41.6351016, 15.908","pressure_msl_(41.6351016, 15.908","surface_pressure_(41.6351016, 15.908","et0_fao_evapotranspiration_(41.6351016, 15.908","shortwave_radiation_(41.6351016, 15.908","direct_radiation_(41.6351016, 15.908","temperature_2m_(45.4821829, 9.2294","relative_humidity_2m_(45.4821829, 9.2294","precipitation_(45.4821829, 9.2294","pressure_msl_(45.4821829, 9.2294","surface_pressure_(45.4821829, 9.2294","et0_fao_evapotranspiration_(45.4821829, 9.2294","shortwave_radiation_(45.4821829, 9.2294","direct_radiation_(45.4821829, 9.2294","temperature_2m_(41.4418911, 15.5449","relative_humidity_2m_(41.4418911, 15.5449","precipitation_(41.4418911, 15.5449","pressure_msl_(41.4418911, 15.5449","surface_pressure_(41.4418911, 15.5449","et0_fao_evapotranspiration_(41.4418911, 15.5449","shortwave_radiation_(41.4418911, 15.5449","direct_radiation_(41.4418911, 15.5449","temperature_2m_(45.670795, 9.96259895222","relative_humidity_2m_(45.670795, 9.96259895222","precipitation_(45.670795, 9.96259895222","pressure_msl_(45.670795, 9.96259895222","surface_pressure_(45.670795, 9.96259895222","et0_fao_evapotranspiration_(45.670795, 9.96259895222","shortwave_radiation_(45.670795, 9.96259895222","direct_radiation_(45.670795, 9.96259895222","temperature_2m_(45.4284536, 10.1863","relative_humidity_2m_(45.4284536, 10.1863","precipitation_(45.4284536, 10.1863","pressure_msl_(45.4284536, 10.1863","surface_pressure_(45.4284536, 10.1863","et0_fao_evapotranspiration_(45.4284536, 10.1863","shortwave_radiation_(45.4284536, 10.1863","direct_radiation_(45.4284536, 10.1863","temperature_2m_(41.2663139, 15.8976","relative_humidity_2m_(41.2663139, 15.8976","precipitation_(41.2663139, 15.8976","pressure_msl_(41.2663139, 15.8976","surface_pressure_(41.2663139, 15.8976","et0_fao_evapotranspiration_(41.2663139, 15.8976","shortwave_radiation_(41.2663139, 15.8976","direct_radiation_(41.2663139, 15.8976"
228,30.747002,85.60964,0.0,1013.8,1009.92755,0.5784234,808.0,662.0,28.931,92.53153,1.4,1013.6,998.7231,0.38529208,504.0,168.0,36.3065,89.56033,0.0,1013.0,1004.2541,0.66302645,835.0,698.0,28.855999,91.64322,6.0,1014.3,991.09814,0.46914202,624.0,386.0,30.507,83.61132,1.4,1013.3,1003.1996,0.49065024,631.0,442.0,34.0815,94.995125,0.0,1013.1,999.319,0.6818997,843.0,712.0
229,35.147,65.24603,0.0,1013.4,1009.4801,0.722963,854.0,730.0,25.431,94.033295,2.8,1012.5,997.47906,0.36258534,582.0,459.0,39.9065,98.201454,0.0,1013.0,1004.06177,0.80786604,815.0,645.0,26.756,88.1818,1.5,1012.8,989.455,0.36688566,496.0,269.0,25.507,92.82195,6.9,1012.1,1001.8257,0.2849352,363.0,196.0,39.1315,96.42807,0.0,1012.9,998.8824,0.7269475,837.0,701.0
230,32.047,87.72287,0.2,1010.8,1006.86395,0.56867075,737.0,536.0,26.581,97.5118,1.0,1012.1,996.99097,0.43773565,747.0,538.0,35.0065,80.06902,0.6,1011.2,1002.2717,0.81958044,835.0,698.0,25.256,93.57118,3.4,1012.5,989.0399,0.51576114,808.0,678.0,25.707,96.635475,7.5,1011.8,1001.4712,0.53231776,798.0,661.0,34.9815,83.1734,0.0,1011.1,997.08624,0.7192125,826.0,681.0
231,28.597,86.11948,0.2,1011.6,1007.6541,0.57425314,803.0,659.0,31.081,95.994934,0.0,1012.9,998.1635,0.59260166,798.0,680.0,30.3065,81.464485,0.4,1011.8,1002.90674,0.6130432,793.0,639.0,28.256,88.36966,0.0,1013.0,990.0888,0.54735184,763.0,639.0,30.657,95.0956,0.0,1012.7,1002.4369,0.5805314,771.0,641.0,29.481499,76.4752,0.6,1011.6,997.6286,0.59994006,786.0,632.0
232,28.897001,87.19454,0.0,1010.6,1006.64954,0.58653396,749.0,580.0,30.331,75.45112,0.0,1012.3,997.3952,0.58343047,795.0,674.0,31.0565,65.488846,0.0,1011.0,1002.0644,0.71493584,817.0,671.0,29.156,75.07016,3.0,1012.8,989.7239,0.5354219,743.0,616.0,31.407,86.04593,0.0,1012.4,1002.19183,0.5689449,755.0,630.0,30.3815,71.222336,0.0,1010.9,996.8797,0.6670014,810.0,656.0
233,28.347,87.62263,0.1,1009.1,1005.14465,0.61268073,809.0,652.0,29.880999,79.49012,0.4,1010.5,995.7643,0.5573783,761.0,636.0,30.206501,62.639683,0.0,1009.3,1000.36145,0.6978888,832.0,694.0,29.105999,83.12378,0.0,1010.8,987.9086,0.52341586,705.0,556.0,31.507,82.37372,0.0,1010.2,1000.15533,0.5325646,702.0,558.0,30.1815,68.720665,0.0,1009.2,995.1302,0.66625434,835.0,699.0
234,26.147001,83.88264,0.2,1012.1,1008.11957,0.4249677,567.0,354.0,30.281,78.86271,0.0,1015.6,1000.54095,0.59347236,802.0,686.0,27.1065,77.01134,0.9,1012.7,1003.73267,0.4790226,656.0,423.0,29.406,81.6897,0.0,1016.6,993.2184,0.58307505,786.0,670.0,30.757,81.74051,0.0,1016.0,1005.70685,0.61477816,776.0,652.0,26.6815,77.4126,0.2,1012.4,998.3282,0.49046025,698.0,412.0
235,28.947,82.62621,0.2,1013.6,1009.6457,0.56747043,759.0,600.0,29.581,81.54073,0.0,1016.5,1001.492,0.5779963,785.0,666.0,29.8565,81.91619,0.0,1014.2,1005.2181,0.61260873,731.0,555.0,28.806,77.47364,0.0,1017.2,993.8712,0.57044625,780.0,668.0,30.407,86.60073,0.1,1016.5,1006.22974,0.56505805,731.0,607.0,29.731499,85.582634,1.3,1013.8,999.7087,0.5662316,777.0,590.0
236,30.297,79.97348,0.3,1012.8,1008.909,0.5663289,736.0,572.0,30.581,81.768776,0.0,1016.4,1001.3188,0.57458705,760.0,638.0,30.2565,76.42541,0.0,1013.5,1004.5256,0.578744,744.0,530.0,30.056,80.35842,0.0,1017.0,993.63666,0.5761715,740.0,611.0,32.357,79.37431,0.0,1016.3,1005.9761,0.58972037,751.0,631.0,32.031498,80.54154,0.0,1013.2,999.10986,0.6025337,778.0,622.0
237,32.247,83.70637,0.0,1011.3,1007.4207,0.62544084,829.0,704.0,30.630999,79.98481,5.7,1012.6,997.7847,0.5399018,693.0,445.0,32.5065,72.9795,0.0,1011.6,1002.6486,0.6870969,820.0,691.0,30.306,82.120186,0.2,1013.2,990.0663,0.53386855,679.0,525.0,32.656998,82.27923,1.6,1013.0,1002.81134,0.5813511,733.0,593.0,33.1315,79.3514,0.0,1011.4,997.35614,0.6509755,823.0,694.0
238,31.847,72.10016,0.0,1012.9,1008.9874,0.5994439,764.0,607.0,29.230999,83.29002,1.3,1012.9,997.8756,0.51152456,713.0,563.0,35.3065,84.85599,0.5,1012.4,1003.4656,0.615688,797.0,652.0,27.406,79.89206,0.8,1012.9,989.56055,0.45605412,645.0,392.0,29.907,76.44001,0.0,1012.3,1002.0498,0.41483104,590.0,301.0,33.8815,90.23543,2.5,1012.4,998.4339,0.5975592,786.0,646.0
239,28.847,88.76645,3.5,1015.3,1011.3184,0.5037091,700.0,532.0,28.181,94.51907,10.5,1015.4,1000.41187,0.5050658,690.0,487.0,31.8565,89.27305,5.6,1015.0,1006.00635,0.5847295,753.0,576.0,27.956,93.36576,13.5,1015.8,992.3662,0.50939727,701.0,450.0,29.307001,93.04554,2.9,1015.3,1005.0228,0.5278229,716.0,492.0,30.3315,85.42191,4.0,1014.9,1000.7528,0.587041,766.0,588.0
240,28.397001,91.53276,1.6,1017.6,1013.6336,0.49712124,679.0,440.0,29.581,95.9829,2.8,1017.8,1002.7486,0.5129912,754.0,633.0,29.4065,82.949844,9.0,1017.0,1008.07745,0.5295773,695.0,520.0,29.806,91.886314,4.0,1017.9,994.79803,0.53138906,748.0,626.0,30.857,92.19058,3.1,1017.6,1007.3906,0.57140094,766.0,648.0,28.231499,85.852036,3.4,1016.8,1002.66656,0.5085405,708.0,537.0
241,29.447,89.82161,0.1,1017.5,1013.5871,0.56022835,743.0,593.0,26.730999,91.98215,0.2,1018.5,1003.5491,0.4329666,648.0,401.0,31.1065,85.21023,0.0,1017.5,1008.64233,0.6342336,775.0,631.0,28.355999,90.2102,0.9,1019.0,995.5789,0.4813337,647.0,481.0,28.707,88.25381,3.7,1018.3,1008.1007,0.5243627,698.0,493.0,30.2815,93.76625,0.0,1017.4,1003.48773,0.55684894,730.0,560.0
242,30.997002,78.39687,0.4,1015.2,1011.21826,0.6106434,795.0,653.0,27.431,95.406944,16.0,1015.6,1000.4776,0.50812817,741.0,610.0,33.5065,90.78867,2.6,1015.2,1006.1985,0.57581776,649.0,495.0,26.406,97.83256,3.8,1016.1,992.59326,0.51766014,738.0,610.0,27.757,95.44705,1.9,1015.3,1005.0487,0.50591123,743.0,610.0,31.4315,88.23901,0.1,1015.2,1001.06537,0.56271416,677.0,518.0
243,25.747002,91.98014,14.9,1011.7,1007.74774,0.32386371,421.0,98.0,26.980999,93.12557,3.1,1016.2,1001.02484,0.42307433,676.0,510.0,23.6565,90.24915,7.8,1012.1,1003.0589,0.22965778,327.0,33.0,25.306,89.62617,3.7,1017.1,993.48553,0.5114432,788.0,661.0,26.257,93.67745,0.7,1016.4,1006.05963,0.47769463,686.0,487.0,22.6815,94.5777,11.8,1011.9,997.8634,0.14877889,209.0,11.0
244,26.197,86.656715,0.0,1015.4,1011.38885,0.5303927,782.0,597.0,25.880999,95.70245,5.2,1016.4,1001.19604,0.44747895,631.0,491.0,26.6565,88.50721,0.0,1015.6,1006.54,0.5322507,730.0,581.0,25.256,96.27913,5.6,1017.1,993.5133,0.4848231,717.0,568.0,26.707,82.2078,3.8,1016.3,1005.9692,0.51197153,755.0,624.0,26.5815,92.18053,0.1,1015.6,1001.3783,0.5133719,727.0,570.0
245,27.597,89.070206,0.0,1017.3,1013.3131,0.51663935,729.0,590.0,26.181,93.608055,2.4,1017.4,1002.1578,0.41072968,526.0,286.0,31.3565,93.70297,0.0,1017.1,1008.03577,0.55268437,714.0,538.0,24.956,85.83083,2.3,1017.7,993.9753,0.4481504,642.0,383.0,25.707,90.43165,3.9,1017.2,1006.7896,0.44045383,578.0,413.0,30.0815,96.03969,0.0,1016.9,1002.6699,0.5437598,749.0,601.0
246,28.247002,90.61982,1.5,1020.7,1016.6811,0.42633817,596.0,418.0,26.730999,96.275566,0.1,1022.0,1006.7872,0.44635463,659.0,496.0,28.1065,93.164566,0.4,1020.8,1011.73364,0.40928787,553.0,336.0,25.956,94.741394,0.1,1022.6,998.9499,0.4797309,734.0,604.0,27.457,95.67744,0.0,1022.0,1011.6061,0.4756719,687.0,539.0,28.5815,99.07464,5.1,1020.7,1006.44324,0.41613734,568.0,356.0
247,28.447,90.5825,0.0,1022.1,1018.16296,0.5555623,770.0,612.0,27.281,85.27769,0.1,1023.8,1008.67004,0.45212248,663.0,486.0,29.0065,94.88053,0.0,1022.3,1013.33826,0.5705501,755.0,600.0,26.855999,86.10002,1.3,1024.4,1000.90607,0.47105482,688.0,550.0,29.057001,91.33443,0.1,1023.6,1013.31165,0.5009803,718.0,587.0,29.4315,95.750336,0.1,1022.1,1008.0458,0.52700585,717.0,555.0
248,29.347,86.39446,0.0,1020.4,1016.3864,0.599142,799.0,678.0,29.130999,91.617226,0.1,1019.9,1004.9755,0.49820936,682.0,549.0,33.4065,88.831,0.0,1020.3,1011.1948,0.65721345,790.0,665.0,27.406,86.99487,0.6,1020.1,996.975,0.48784417,699.0,567.0,29.557001,90.49062,1.5,1019.6,1009.42664,0.5111929,710.0,580.0,31.981499,89.22202,0.0,1020.3,1006.02,0.57623404,789.0,663.0
249,31.047,67.625404,0.0,1017.7,1013.7249,0.6105949,789.0,666.0,25.931,94.839554,10.8,1016.9,1001.93506,0.3234819,456.0,251.0,34.8565,86.944084,0.0,1017.1,1008.0513,0.60940087,779.0,651.0,25.406,99.06986,6.5,1017.4,994.15985,0.38206047,552.0,289.0,27.157,90.531906,10.9,1016.9,1006.59863,0.390944,542.0,297.0,33.9815,81.14084,0.1,1017.2,1003.11334,0.6157884,778.0,651.0
250,32.297,78.03077,0.0,1015.0,1011.03485,0.52566093,695.0,508.0,26.730999,89.81136,13.6,1012.8,997.65735,0.45148253,649.0,480.0,32.6065,75.667984,0.0,1014.5,1005.53345,0.56277925,651.0,471.0,27.206,91.261154,15.2,1014.2,990.70056,0.45961452,638.0,482.0,28.157,93.63763,5.2,1012.8,1002.4786,0.4673868,635.0,487.0,33.0815,76.75385,0.0,1014.8,1000.6756,0.57100195,703.0,544.0
251,33.297,82.6388,0.0,1014.0,1010.0461,0.5961422,731.0,592.0,25.281,90.977135,2.8,1013.8,998.6117,0.3879825,573.0,445.0,34.5065,82.2544,0.0,1014.2,1005.25726,0.69563556,719.0,585.0,24.306,98.10682,11.0,1014.0,990.54877,0.41505727,615.0,424.0,26.107,95.06429,12.8,1013.5,1003.1907,0.46139744,671.0,536.0,34.4315,84.45404,0.1,1014.2,1000.1575,0.6447323,713.0,563.0
252,31.647001,87.79192,0.1,1015.3,1011.40247,0.5254641,712.0,570.0,25.630999,84.517975,0.0,1015.1,1000.076,0.4700535,709.0,593.0,32.2565,73.128075,0.2,1014.7,1005.9422,0.6763195,738.0,604.0,24.456,94.32783,0.2,1015.2,991.88586,0.464189,702.0,577.0,25.707,92.26928,0.0,1014.8,1004.53644,0.48880422,730.0,613.0,31.481499,76.96912,0.2,1015.0,1001.2231,0.60044557,698.0,547.0
253,28.247002,91.21124,0.6,1014.9,1010.90643,0.4785968,666.0,502.0,26.730999,87.096725,0.0,1016.7,1001.72034,0.4937686,726.0,614.0,28.956501,76.40854,0.6,1015.4,1006.3601,0.5615881,704.0,579.0,24.706,82.238594,0.1,1016.9,993.50775,0.44290772,668.0,541.0,25.507,85.16513,0.0,1016.5,1006.2452,0.46626908,715.0,600.0,29.0315,78.37097,0.1,1015.2,1001.0153,0.6035034,768.0,640.0
254,27.697,77.78805,0.0,1015.9,1011.97235,0.581598,784.0,664.0,26.730999,86.357025,0.0,1016.7,1001.6775,0.4803138,710.0,597.0,28.956501,80.49971,0.0,1015.9,1007.0358,0.6282274,753.0,617.0,25.605999,78.228355,0.0,1016.8,993.62354,0.44504774,650.0,479.0,27.257,88.52399,0.0,1016.6,1006.36145,0.4616236,679.0,546.0,29.1315,83.54588,0.0,1015.9,1001.9576,0.5597149,772.0,642.0
255,27.247002,75.342445,0.0,1015.4,1011.47235,0.53741074,775.0,651.0,27.230999,89.055756,0.0,1014.8,999.54736,0.48702914,703.0,594.0,31.456501,64.951126,0.0,1015.0,1006.1658,0.6123905,777.0,653.0,26.756,88.19454,0.0,1015.2,991.5498,0.49092892,707.0,596.0,27.807001,94.09722,0.0,1014.8,1004.4106,0.48689547,704.0,590.0,28.731499,75.67938,0.0,1015.1,1001.1732,0.5405154,771.0,643.0
256,29.897001,62.89352,0.0,1015.1,1011.118,0.5738164,765.0,647.0,25.880999,93.34492,0.3,1012.8,997.7316,0.35559222,526.0,318.0,35.5565,69.07362,0.0,1014.8,1005.7273,0.6844556,761.0,640.0,25.956,93.907486,0.7,1013.0,989.5916,0.41058737,553.0,329.0,27.457,96.62283,0.5,1012.3,1001.9837,0.42902216,592.0,363.0,34.2315,69.76699,0.0,1015.0,1000.7628,0.64573467,764.0,643.0
257,28.597,69.5716,0.4,1014.2,1010.3048,0.31027275,241.0,37.0,28.781,93.92216,0.0,1009.2,994.13934,0.48281935,653.0,523.0,30.1065,60.13163,0.3,1014.2,1005.37103,0.29504403,215.0,23.0,26.855999,93.94799,0.2,1010.0,986.6215,0.45688224,655.0,513.0,28.507,96.619026,0.3,1009.5,999.21564,0.48089218,629.0,496.0,29.0815,75.76,0.2,1014.4,1000.5404,0.40335104,432.0,112.0
258,31.747002,82.2229,0.5,1011.1,1007.16815,0.63111216,703.0,521.0,28.431,92.78096,0.2,1005.3,990.36346,0.421156,605.0,455.0,31.456501,72.2317,0.2,1010.7,1001.8267,0.61560315,692.0,481.0,27.056,92.05418,2.3,1006.1,982.933,0.444259,621.0,499.0,27.807001,86.94412,2.4,1005.6,995.4176,0.4458937,613.0,456.0,29.981499,76.64651,0.0,1010.9,996.91266,0.52606976,602.0,298.0
